"titles","abstract","year","geography","categoryTitle","categoryText"
"Blood Lead Concentrations of Children in the United States: A Comparison of States Using Two Very Large Databases","OBJECTIVES: To determine whether there are substantial differences by state between 2 large datasets in the proportion of children with elevated blood lead levels (BLLs); to identify states in which the percentage of elevated BLLs is high in either or both datasets; and to compare the percentage of elevated BLLs in individual states with those of children living in Flint, Michigan, during the months when these children were exposed to lead-contaminated drinking water. STUDY DESIGN: Tables of BLLs for individual states from the Quest Diagnostics and the Centers for Disease Control and Prevention datasets for 2014-2015, containing more than 3 million BLLs of young children?<?6 years old, were constructed to compare the Quest Diagnostics and Centers for Disease Control and Prevention data with one another and with BLLs available for Flint children for 2014-2015. RESULTS: For some states, the percentages of BLLs ?5.0?µg/dL are similar in the 2 datasets, whereas for other states, the datasets differ substantially in the percentage of BLLs ?5.0?µg/dL. The percentage of BLLs ?5.0?µg/dL is greater in some states in both datasets than observed in Flint when children were exposed to contaminated water. CONCLUSION: The data presented in this study can be a resource for pediatricians and public health professionals involved in the design of state programs to reduce lead exposure (primary prevention) and identify children with elevated BLLs (secondary prevention).","2017","Michigan","None","water"
"The Effect of Leaded Aviation Gasoline on Blood Lead in Children","Lead is a neurotoxin with developmentally harmful effects in children. In the United States, over half the current flow of lead into the atmosphere is attributable to lead-formulated aviation gasoline (avgas), used in a large fraction of piston-engine aircraft. Various public interest firms have petitioned the EPA to find endangerment from and regulate lead emitted by piston-engine aircraft, though the EPA has so far ruled against such petitions. To address an EPA request for more evidence, we construct a novel data set that links time and spatially referenced blood lead data from over a million children to 448 nearby airports in Michigan. Across a series of tests, and adjusting for other known sources of lead exposure, we find that child blood lead levels (1) increase dose-responsively in proximity to airports, (2) decline measurably among children sampled in the months after 9/11, (3) increase dose-responsively in the flow of piston-engine aircraft traffic, (4) increase in the percentage of prevailing wind days drifting in the direction of a child’s residential location, and (5) behave intuitively and significantly when considering two-way and three-way interactions of our main treatment variables. To quantify the policy relevance of the results we provide a conservative estimate of the social damages attributable to avgas consumption. Damages are at least $10 per gallon, which can be compared to a pump price of about $6 per gallon.","2017","Michigan","None","None"
"Relationship Between Total and Bioaccessible Lead on Children's Blood Lead Levels in Urban Residential Philadelphia Soils","Relationships between total soil or bioaccessible lead (Pb), measured using an in vitro bioaccessibility assay, and children's blood lead levels (BLL) were investigated in an urban neighborhood in Philadelphia, PA, with a history of soil Pb contamination. Soil samples from 38 homes were analyzed to determine whether accounting for the bioaccessible Pb fraction improves statistical relationships with children's BLLs. Total soil Pb concentration ranged from 58 to 2821 mg/kg; the bioaccessible Pb concentration ranged from 47 to 2567 mg/kg. Children's BLLs ranged from 0.3 to 9.8 μg/dL. Hierarchical models were used to compare relationships between total or bioaccessible Pb in soil and children's BLLs. Total soil Pb concentration as the predictor accounted for 23% of the variability in child BLL; bioaccessible soil Pb concentration as the predictor accounted for 26% of BLL variability. A bootstrapping analysis confirmed a significant increase in R(2) for the model using bioaccessible soil Pb concentration as the predictor with 99.0% of bootstraps showing a positive increase. Estimated increases of 1.3 μg/dL and 1.5 μg/dL in BLL per 1000 mg/kg Pb in soil were observed for this study area using total and bioaccessible Pb concentrations, respectively. Children's age did not contribute significantly to the prediction of BLLs.","2017","Pennsylvania","social","soil"
"Notes from the Field: Lead Poisoning in an Infant Associated with a Metal Bracelet - Connecticut, 2016"," ","2017","Connecticut","None","None"
"Children's Lead Exposure: A Multimedia Modeling Analysis to Guide Public Health Decision-Making","BACKGROUND: Drinking water and other sources for lead are the subject of public health concerns around the Flint, Michigan, drinking water and East Chicago, Indiana, lead in soil crises. In 2015, the U.S. Environmental Protection Agency (EPA)'s National Drinking Water Advisory Council (NDWAC) recommended establishment of a ""health-based, household action level"" for lead in drinking water based on children's exposure. OBJECTIVES: The primary objective was to develop a coupled exposure-dose modeling approach that can be used to determine what drinking water lead concentrations keep children's blood lead levels (BLLs) below specified values, considering exposures from water, soil, dust, food, and air. Related objectives were to evaluate the coupled model estimates using real-world blood lead data, to quantify relative contributions by the various media, and to identify key model inputs. METHODS: A modeling approach using the EPA's Stochastic Human Exposure and Dose Simulation (SHEDS)-Multimedia and Integrated Exposure Uptake and Biokinetic (IEUBK) models was developed using available data. This analysis for the U.S. population of young children probabilistically simulated multimedia exposures and estimated relative contributions of media to BLLs across all population percentiles for several age groups. RESULTS: Modeled BLLs compared well with nationally representative BLLs (0-23% relative error). Analyses revealed relative importance of soil and dust ingestion exposure pathways and associated Pb intake rates; water ingestion was also a main pathway, especially for infants. CONCLUSIONS: This methodology advances scientific understanding of the relationship between lead concentrations in drinking water and BLLs in children. It can guide national health-based benchmarks for lead and related community public health decisions. https://doi.org/10.1289/EHP1605.","2017","Indiana","None","water"
"Children's Lead Exposure: A Multimedia Modeling Analysis to Guide Public Health Decision-Making","BACKGROUND: Drinking water and other sources for lead are the subject of public health concerns around the Flint, Michigan, drinking water and East Chicago, Indiana, lead in soil crises. In 2015, the U.S. Environmental Protection Agency (EPA)'s National Drinking Water Advisory Council (NDWAC) recommended establishment of a ""health-based, household action level"" for lead in drinking water based on children's exposure. OBJECTIVES: The primary objective was to develop a coupled exposure-dose modeling approach that can be used to determine what drinking water lead concentrations keep children's blood lead levels (BLLs) below specified values, considering exposures from water, soil, dust, food, and air. Related objectives were to evaluate the coupled model estimates using real-world blood lead data, to quantify relative contributions by the various media, and to identify key model inputs. METHODS: A modeling approach using the EPA's Stochastic Human Exposure and Dose Simulation (SHEDS)-Multimedia and Integrated Exposure Uptake and Biokinetic (IEUBK) models was developed using available data. This analysis for the U.S. population of young children probabilistically simulated multimedia exposures and estimated relative contributions of media to BLLs across all population percentiles for several age groups. RESULTS: Modeled BLLs compared well with nationally representative BLLs (0-23% relative error). Analyses revealed relative importance of soil and dust ingestion exposure pathways and associated Pb intake rates; water ingestion was also a main pathway, especially for infants. CONCLUSIONS: This methodology advances scientific understanding of the relationship between lead concentrations in drinking water and BLLs in children. It can guide national health-based benchmarks for lead and related community public health decisions. https://doi.org/10.1289/EHP1605.","2017","Michigan","None","water"
"Examining Lead Exposures in California through State-Issued Health Alerts for Food Contamination and an Exposure-Based Candy Testing Program","In California, the annual number of children under age 6 y of age with blood lead levels (BLL) >= 10 mu g/dL is estimated at over 1,000 cases, and up to 10,000 cases when BLL between 4.5 and 9.5 mu g/dL are included. State-issued health alerts for food contamination provide one strategy for tracking sources of food-related lead exposures. As well, California passed legislation in 2006 for the Food and Drug Branch (FDB) of the state health department to test and identify lead in candy. This report presents health alert data from California over a 14-y period, compares data before and after the candy testing program began, and examines country of origin, ZIP code data, and time from candy testing to release of health alerts for lead-contaminated candies for 2011-2012. After 2007, health alerts issued for lead in candy and food increased significantly. Analysis of candy-testing data indicated that multiple counties and ZIP codes were affected. Seventeen candies with high lead concentrations were identified, resulting in rapid dissemination (<2 wk) of health alerts to local health departments and community clinicians and to the public. Surveillance of lead exposures from state-based food and candy testing programs provides an opportunity to identify and immediately act to remove nonpaint sources of lead affecting children.","2017","California","None","None"
"Predicting Blood-Lead Levels Among U.S. Children at the Census Tract Level","Efforts to prevent childhood lead exposure are hindered by difficulty in predicting where exposure is concentrated in the absence of childhood blood-lead data. To help fill that gap, we created and validated a regression model to estimate childhood lead exposure in every census tract in the United States. Publicly available factors that were the most predictive of childhood blood-lead concentration were identified by a literature review and an evaluation of childhood blood-lead level (BLL) records from a public health surveillance program in Michigan (543,295 records for the years 1999-2009). The predictive power of the regression model was validated through a comparison to blood-lead surveillance program data from Massachusetts (833,951 records for the years 2000-2009), Texas (838,368 records for the years 1999-2009), and National Health and Nutrition Examination Survey (NHANES) datasets. The regression model identified percentage of pre-1960 housing, percentage of population below poverty line, and percentage of population that is non-Hispanic black as the most predictive factors, with year, season, type of blood sample, and age of child as important covariates. The model based on Michigan data predicted geometric mean (GM) blood-lead concentrations within Michigan census tracts with an R2 of 0.69, in Massachusetts with an R2 of 0.28, and in Texas with an R2 of 0.20 and represents a substantial improvement over the application of the NHANES national estimate to predict local childhood BLLs. Applying the model for 1- and 2-year olds combined across the United States found that the nationally aggregated predictions matched the NHANES blood-lead distributions within 10% of the GM and within 10% of the 95th percentile of the national distributions. Such estimates may help focus on childhood lead poisoning prevention efforts.","2017","Massachusetts","None","None"
"Predicting Blood-Lead Levels Among U.S. Children at the Census Tract Level","Efforts to prevent childhood lead exposure are hindered by difficulty in predicting where exposure is concentrated in the absence of childhood blood-lead data. To help fill that gap, we created and validated a regression model to estimate childhood lead exposure in every census tract in the United States. Publicly available factors that were the most predictive of childhood blood-lead concentration were identified by a literature review and an evaluation of childhood blood-lead level (BLL) records from a public health surveillance program in Michigan (543,295 records for the years 1999-2009). The predictive power of the regression model was validated through a comparison to blood-lead surveillance program data from Massachusetts (833,951 records for the years 2000-2009), Texas (838,368 records for the years 1999-2009), and National Health and Nutrition Examination Survey (NHANES) datasets. The regression model identified percentage of pre-1960 housing, percentage of population below poverty line, and percentage of population that is non-Hispanic black as the most predictive factors, with year, season, type of blood sample, and age of child as important covariates. The model based on Michigan data predicted geometric mean (GM) blood-lead concentrations within Michigan census tracts with an R2 of 0.69, in Massachusetts with an R2 of 0.28, and in Texas with an R2 of 0.20 and represents a substantial improvement over the application of the NHANES national estimate to predict local childhood BLLs. Applying the model for 1- and 2-year olds combined across the United States found that the nationally aggregated predictions matched the NHANES blood-lead distributions within 10% of the GM and within 10% of the 95th percentile of the national distributions. Such estimates may help focus on childhood lead poisoning prevention efforts.","2017","Michigan","None","None"
"Predicting Blood-Lead Levels Among U.S. Children at the Census Tract Level","Efforts to prevent childhood lead exposure are hindered by difficulty in predicting where exposure is concentrated in the absence of childhood blood-lead data. To help fill that gap, we created and validated a regression model to estimate childhood lead exposure in every census tract in the United States. Publicly available factors that were the most predictive of childhood blood-lead concentration were identified by a literature review and an evaluation of childhood blood-lead level (BLL) records from a public health surveillance program in Michigan (543,295 records for the years 1999-2009). The predictive power of the regression model was validated through a comparison to blood-lead surveillance program data from Massachusetts (833,951 records for the years 2000-2009), Texas (838,368 records for the years 1999-2009), and National Health and Nutrition Examination Survey (NHANES) datasets. The regression model identified percentage of pre-1960 housing, percentage of population below poverty line, and percentage of population that is non-Hispanic black as the most predictive factors, with year, season, type of blood sample, and age of child as important covariates. The model based on Michigan data predicted geometric mean (GM) blood-lead concentrations within Michigan census tracts with an R2 of 0.69, in Massachusetts with an R2 of 0.28, and in Texas with an R2 of 0.20 and represents a substantial improvement over the application of the NHANES national estimate to predict local childhood BLLs. Applying the model for 1- and 2-year olds combined across the United States found that the nationally aggregated predictions matched the NHANES blood-lead distributions within 10% of the GM and within 10% of the 95th percentile of the national distributions. Such estimates may help focus on childhood lead poisoning prevention efforts.","2017","Texas","None","None"
"Burden of higher lead exposure in African-Americans starts in utero and persists into childhood","Background: Recent public health lead crises in urban areas emphasize the need to better understand exposure to environmental toxicants, particularly in higher risk groups. Although African-American children have the highest prevalence of elevated blood lead levels in the United States, little is known about when this trajectory of disproportionate burden of lead exposure first emerges. Objectives: Using tooth-matrix biomarkers that directly measure fetal and early childhood metal levels, the primary goal of this study was to determine if there were racial disparities in lead levels during fetal development and early childhood. Manganese, an essential nutrient that modifies the neurotoxic effects of lead, was also measured. Methods: Pregnant women served by the Henry Ford Health System and living in a predefined geographic area in and around Detroit, Michigan, were recruited during the second trimester or later into the Wayne County Health, Environment, Allergy and Asthma Longitudinal Study (WHEALS), a population-based birth cohort. Offspring born between September 2003 and December 2007 were studied in childhood. Child race was parent-reported. Lead and manganese during the second and third trimesters, early postnatal life (birth through age 1 year) and early childhood (age 1 through time of tooth shedding, which ranges from 6 to 12 years) were measured via high-resolution microspatial mapping of dentin growth rings, a validated biomarker for prenatal and childhood metal exposure. Results: African-American children (N = 71) had 2.2 times higher lead levels in the second and third trimesters (both p < 0.001) and 1.9 times higher lead levels postnatally in the first year of life (p = 0.003) compared to white children (N = 51). Lead levels in African-American children were also higher during childhood, but this effect was only marginally significant (p = 0.066) and was attenuated after covariate adjustment. Additionally, we observed that African-American children had lower tooth-manganese levels during the third trimester (p = 0.063) and postnatally (p = 0.043), however these differences were attenuated after covariate adjustment. Conclusion: The disproportionate burden of lead exposure is vertically transmitted (i.e., mother-to-child) to African-American children before they are born and persists into early childhood. Our results suggest that testing women for lead during pregnancy (or in pre-conception planning), may be needed to identify the risk to their future offspring, particularly for African-American women.","2017","Michigan","None","None"
"A Community-Academic Partnership to Reduce Lead Exposure From an Elevated Roadway Demolition, Cincinnati, Ohio, 2012","Disseminating public health recommendations to community members is an important step in protecting the public's health. We describe a community-academic partnership comprising health-based organizations, community groups, academia, and government organizations. This partnership undertook an iterative process to develop an outreach plan, educational materials, and activities to bring lead-poisoning prevention recommendations from a health impact assessment of a roadway demolition/construction project to the residents of an affected neighborhood in Cincinnati, Ohio, in 2012. Community partners played a key role in developing outreach and prevention activities. As a result of this project, activities among members of the partnership continue.","2017","Ohio","None","social"
"Laboratory Screening for Children Entering Foster Care","OBJECTIVES:To determine the prevalence of medical illness detected by laboratory screening in children entering foster care in a single, urban county. METHODS:All children entering foster care in a single county in Ohio were seen at a consultation foster care clinic and had laboratory screening, including testing for infectious diseases such as HIV, hepatitis B, hepatitis C, syphilis, and tuberculosis as well as for hemoglobin and lead levels. RESULTS:Over a 3-year period (2012-2015), laboratory screening was performed on 1977 subjects entering foster care in a consultative foster care clinic. The prevalence of hepatitis B, hepatitis C, syphilis, and tuberculosis were all found to be <1%. There were no cases of HIV. Seven percent of teenagers entering foster care tested positive for Chlamydia. A secondary finding was that 54% of subjects were hepatitis B surface antibody-negative, indicating an absence of detected immunity to the hepatitis B virus. CONCLUSIONS:Routine laboratory screening for children entering foster care resulted in a low yield. Targeted, rather than routine, laboratory screening may be a more clinically meaningful approach for children entering foster care.","2017","Ohio","None","laboratory"
"Lead Emissions and Population Vulnerability in the Detroit (Michigan, USA) Metropolitan Area, 2006-2013: A Spatial and Temporal Analysis","Objective: The purpose of this research is to geographically model airborne lead emission concentrations and total lead deposition in the Detroit Metropolitan Area (DMA) from 2006 to 2013. Further, this study characterizes the racial and socioeconomic composition of recipient neighborhoods and estimates the potential for IQ (Intelligence Quotient) loss of children residing there. Methods: Lead emissions were modeled from emitting facilities in the DMA using AERMOD (American Meteorological Society/Environmental Protection Agency Regulatory Model). Multilevel modeling was used to estimate local racial residential segregation, controlling for poverty. Global Moran's I bivariate spatial autocorrelation statistics were used to assess modeled emissions with increasing segregation. Results: Lead emitting facilities were primarily located in, and moving to, highly black segregated neighborhoods regardless of poverty levels-a phenomenon known as environmental injustice. The findings from this research showed three years of elevated airborne emission concentrations in these neighborhoods to equate to a predicted 1.0 to 3.0 reduction in IQ points for children living there. Across the DMA there are many areas where annual lead deposition was substantially higher than recommended for aquatic (rivers, lakes, etc.) and terrestrial (forests, dunes, etc.) ecosystems. These lead levels result in decreased reproductive and growth rates in plants and animals, and neurological deficits in vertebrates. Conclusions: This lead-hazard and neighborhood context assessment will inform future childhood lead exposure studies and potential health consequences in the DMA.","2017","Michigan","None","None"
"Resurgent lead poisoning and renewed public attention towards environmental social justice issues: A review of current efforts and call to revitalize primary and secondary lead poisoning prevention for pregnant women, lactating mothers, and children within the U.S","The recent Colorado Gold King Mine waste-water spill and Michigan's water supply re-routing program catastrophe, has directed renewed public attention towards resurgent environmental lead contamination threats. Leaded environments present social justice issues for children and mothers possessing blood lead levels (BLLs) > 5 mu g/dL. Childhood lead exposure remains a continual U.S. public health problem manifesting in lifelong adverse neuropsychological consequences. The 2007 Inspector General Report demonstrated low BLL screening rates across the U.S. and this study examined the regularity of children's BLL screening rates. The Centers for Disease Control and Prevention (CDC) Lead Poisoning National Surveillance 2010-2014 children's BLL screening rates, were examined to assess BLL screening regularity in states traditionally known to have regularly occurring BLL screenings: New York, New Jersey, and Pennsylvania. The results extracted from the CDC data showed that < 50% of children were BLL screened by six-years of age across the states that were sampled. The findings highlight that without a ""clear map"" of lead exposed areas through accurate and consistent BLL screenings, how the potential for such disparities within - and between-states within the U.S. could arise due to environmental social justice issues in relation to BLL screening barriers. Barriers preventing children's BLL screenings were considered, and public health interventions recommended to improve screening rates included: routine BLL screening for all pregnant women, lactating mothers, and children; while, removing known lead exposure sources within communities. This study calls for action during a time of renewed public attention to resurgent lead poisoning within the US.","2018","Michigan","None","water"
"Resurgent lead poisoning and renewed public attention towards environmental social justice issues: A review of current efforts and call to revitalize primary and secondary lead poisoning prevention for pregnant women, lactating mothers, and children within the U.S","The recent Colorado Gold King Mine waste-water spill and Michigan's water supply re-routing program catastrophe, has directed renewed public attention towards resurgent environmental lead contamination threats. Leaded environments present social justice issues for children and mothers possessing blood lead levels (BLLs) > 5 mu g/dL. Childhood lead exposure remains a continual U.S. public health problem manifesting in lifelong adverse neuropsychological consequences. The 2007 Inspector General Report demonstrated low BLL screening rates across the U.S. and this study examined the regularity of children's BLL screening rates. The Centers for Disease Control and Prevention (CDC) Lead Poisoning National Surveillance 2010-2014 children's BLL screening rates, were examined to assess BLL screening regularity in states traditionally known to have regularly occurring BLL screenings: New York, New Jersey, and Pennsylvania. The results extracted from the CDC data showed that < 50% of children were BLL screened by six-years of age across the states that were sampled. The findings highlight that without a ""clear map"" of lead exposed areas through accurate and consistent BLL screenings, how the potential for such disparities within - and between-states within the U.S. could arise due to environmental social justice issues in relation to BLL screening barriers. Barriers preventing children's BLL screenings were considered, and public health interventions recommended to improve screening rates included: routine BLL screening for all pregnant women, lactating mothers, and children; while, removing known lead exposure sources within communities. This study calls for action during a time of renewed public attention to resurgent lead poisoning within the US.","2018","New Jersey","None","water"
"Resurgent lead poisoning and renewed public attention towards environmental social justice issues: A review of current efforts and call to revitalize primary and secondary lead poisoning prevention for pregnant women, lactating mothers, and children within the U.S","The recent Colorado Gold King Mine waste-water spill and Michigan's water supply re-routing program catastrophe, has directed renewed public attention towards resurgent environmental lead contamination threats. Leaded environments present social justice issues for children and mothers possessing blood lead levels (BLLs) > 5 mu g/dL. Childhood lead exposure remains a continual U.S. public health problem manifesting in lifelong adverse neuropsychological consequences. The 2007 Inspector General Report demonstrated low BLL screening rates across the U.S. and this study examined the regularity of children's BLL screening rates. The Centers for Disease Control and Prevention (CDC) Lead Poisoning National Surveillance 2010-2014 children's BLL screening rates, were examined to assess BLL screening regularity in states traditionally known to have regularly occurring BLL screenings: New York, New Jersey, and Pennsylvania. The results extracted from the CDC data showed that < 50% of children were BLL screened by six-years of age across the states that were sampled. The findings highlight that without a ""clear map"" of lead exposed areas through accurate and consistent BLL screenings, how the potential for such disparities within - and between-states within the U.S. could arise due to environmental social justice issues in relation to BLL screening barriers. Barriers preventing children's BLL screenings were considered, and public health interventions recommended to improve screening rates included: routine BLL screening for all pregnant women, lactating mothers, and children; while, removing known lead exposure sources within communities. This study calls for action during a time of renewed public attention to resurgent lead poisoning within the US.","2018","New York","None","water"
"Resurgent lead poisoning and renewed public attention towards environmental social justice issues: A review of current efforts and call to revitalize primary and secondary lead poisoning prevention for pregnant women, lactating mothers, and children within the U.S","The recent Colorado Gold King Mine waste-water spill and Michigan's water supply re-routing program catastrophe, has directed renewed public attention towards resurgent environmental lead contamination threats. Leaded environments present social justice issues for children and mothers possessing blood lead levels (BLLs) > 5 mu g/dL. Childhood lead exposure remains a continual U.S. public health problem manifesting in lifelong adverse neuropsychological consequences. The 2007 Inspector General Report demonstrated low BLL screening rates across the U.S. and this study examined the regularity of children's BLL screening rates. The Centers for Disease Control and Prevention (CDC) Lead Poisoning National Surveillance 2010-2014 children's BLL screening rates, were examined to assess BLL screening regularity in states traditionally known to have regularly occurring BLL screenings: New York, New Jersey, and Pennsylvania. The results extracted from the CDC data showed that < 50% of children were BLL screened by six-years of age across the states that were sampled. The findings highlight that without a ""clear map"" of lead exposed areas through accurate and consistent BLL screenings, how the potential for such disparities within - and between-states within the U.S. could arise due to environmental social justice issues in relation to BLL screening barriers. Barriers preventing children's BLL screenings were considered, and public health interventions recommended to improve screening rates included: routine BLL screening for all pregnant women, lactating mothers, and children; while, removing known lead exposure sources within communities. This study calls for action during a time of renewed public attention to resurgent lead poisoning within the US.","2018","Pennsylvania","None","water"
"Examining Public Perceptions about Lead in School Drinking Water: A Mixed-Methods Analysis of Twitter Response to an Environmental Health Hazard","Exposure to lead has long been a community health concern in St. Louis, Missouri. The objective of this study was to examine public response to reports of elevated lead levels in school drinking water in St. Louis, Missouri via Twitter, a microblogging platform with over 320 million active users. We used a mixed-methods design to examine Twitter user status updates, known as tweets, from 18 August to 31 December 2016. The number of tweets each day was recorded, and Twitter users were classified into five user types (General Public, Journalist/News, Health Professional/Academic, Politician/Government Official, and Non-Governmental Organization). A total of 492 tweets were identified during the study period. The majority of discourse on Twitter occurred during the two-week period after initial media reports and was driven by members of the General Public. Thematic analysis of tweets revealed four themes: Information Sharing, Health Concerns, Sociodemographic Disparities, and Outrage. Twitter users characterized lead in school drinking water as an issue of environmental inequity. The findings of this study provide evidence that social media platforms can be utilized as valuable tools for public health researchers and practitioners to gauge public sentiment about environmental health issues, identify emerging community concerns, and inform future communication and research strategies regarding environmental health hazards.","2018","Missouri","water","water"
"Elevated Blood Lead Levels by Length of Time From Resettlement to Health Screening in Kentucky Refugee Children","OBJECTIVES: To examine elevated blood lead levels (EBLLs) in refugee children by postrelocation duration with control for several covariates. METHODS: We assessed EBLLs (≥ 5µg/dL) between 2012 and 2016 of children younger than 15 years (n = 1950) by the duration of resettlement to health screening by using logistic regression, with control for potential confounders (gender, region of birth, age of housing, and intestinal infestation) in a cross-sectional study. RESULTS: Prevalence of EBLLs was 11.2%. Length of time from resettlement to health screening was inversely associated with EBLLs (tertile 2 unadjusted odds ratio [OR] = 0.79; 95% confidence interval [CI] = 0.56, 1.12; tertile 3 OR = 0.62; 95% CI = 0.42, 0.90; tertile 2 adjusted odds ratio [AOR] = 0.62; 95% CI = 0.39, 0.97; tertile 3 AOR = 0.57; 95% CI = 0.34, 0.93). There was a significant interaction between intestinal infestation and age of housing (P < .003), indicating significant risk in the joint exposure of intestinal infestation (a pica proxy) and age of house. CONCLUSIONS: Elevated blood lead levels were reduced with increasing length of time of resettlement in unadjusted and adjusted models. Improved housing, early education, and effective safe-house inspections may be necessary to address EBLLs in refugees.","2018","Kentucky","None","None"
"Metal pollution investigation of Goldman Park, Middletown Ohio: Evidence for steel and coal pollution in a high child use setting","A geochemical investigation of both ballfield sediment and street sediment in a park adjacent to a major steel manufacturing site in Middletown, Ohio revealed Pb, Cu, Cr and Zn exceeded background levels, but in heterogeneous ways and in varying levels of health concern. Pb, Sn, and Zn had geoaccumulation values > 2 (moderate to heavy pollutants) in street sediment samples. Cr had a geoaccumulation value > 1, while Ni, W, Fe and Mn had geoaccumulation values between 1 and 0 in street sediment. Street sediment contamination factors for respective elements are Zn (10.41), Sn (5.45), Pb (4.70), Sb (3.45), Cr (3.19), W(2.59), and Mn (2.43). The notable elements with the highest factors for ball fields are Zn (1.72), Pb (1.36), Cr (0.99), V (0.95), and Mn (1.00). High correlation coefficients of known constituents of steel, such as Fe and Mo, Ni and Cr, W and Co, W and V, as well as particulate steel and coal spherule fragments found by SEM suggest probable sourcing of some of the metals from the AK Steel facility directly adjacent to the park. However, overall extensive heterogeneity of metal pollutants in the area points to the difficulties in sourcing pollutant metals, with many outside sources likely contributing as well. This study demonstrates that different sediment media can be impacted by significantly different metal pollutants even when in very close proximity to a single source and points to unrecognized complexity in urban pollution processes in the region. This study pertains to large-scale regional importance, as Middletown, Ohio is indicative of a typical post-industrial Midwestern U.S. city where limited investigation has been conducted regarding urban pollution and sourcing of materials. (C) 2017 Elsevier B.V. All rights reserved.","2018","Ohio","None","None"
"Universal Lead Screening Requirement: A California Case Study","Objectives. To estimate potential impacts of California Assembly Bill (AB) 1316: a requirement for universal screening and insurance coverage for child blood lead testing. Methods. In April 2017 the California Health Benefits Review Program (Oakland, CA) analyzed AB 1316 for the California legislature, including a systematic review of lead screening effectiveness, commercial insurer surveys regarding screening coverage, and actuarial utilization and cost implication assessments. Results. Universal screening requirements would increase child lead testing by 273%, raise affected populations' premiums by 0.0043%, and detect an additional 4777 exposed children 1 year after implementation. Conclusions. The evidence for a net societal benefit of universal screening approach is limited and is not supported by prominent medical professional groups. Public Health Implications. California expanded targeted screening to identify additional children at higher risk for lead poisoning on the basis of California-specific risk factors, while mitigating the potential harms of universal screening such as an increase in false positive tests and health care costs.","2018","California","None","None"
"Elevated Lead in Water of Private Wells Poses Health Risks: Case Study in Macon County, North Carolina","Recent research has indicated that lead in water of private wells is in the range of that which caused problems in Flint, Michigan. However, there is limited understanding of the mechanisms for water lead release in these systems. We evaluated water lead at the homes of two children with elevated blood lead in Macon County (North Carolina), which did not have identifiable lead paint or lead dust hazards, and examined water lead release patterns among 15 private wells in the county. Water lead release patterns differed among the 15 private wells. Problems with lead release were associated with (1) dissolution of lead from plumbing during periods of stagnation; (2) scouring of leaded scales and sediments during initial water use; and (3) mobilization of leaded scales during continued water use. Accurate quantification of water lead was highly dependent on sample collection methods, as flushing dramatically reduced detection of lead hazards. The incidence of high water lead in private wells may be present in other counties of North Carolina and elsewhere in the United States. The underestimation of water lead in wells may be masking cases of elevated blood lead levels attributed to this source and hindering opportunities to mitigate this exposure.","2018","Michigan","water","water"
"Elevated Lead in Water of Private Wells Poses Health Risks: Case Study in Macon County, North Carolina","Recent research has indicated that lead in water of private wells is in the range of that which caused problems in Flint, Michigan. However, there is limited understanding of the mechanisms for water lead release in these systems. We evaluated water lead at the homes of two children with elevated blood lead in Macon County (North Carolina), which did not have identifiable lead paint or lead dust hazards, and examined water lead release patterns among 15 private wells in the county. Water lead release patterns differed among the 15 private wells. Problems with lead release were associated with (1) dissolution of lead from plumbing during periods of stagnation; (2) scouring of leaded scales and sediments during initial water use; and (3) mobilization of leaded scales during continued water use. Accurate quantification of water lead was highly dependent on sample collection methods, as flushing dramatically reduced detection of lead hazards. The incidence of high water lead in private wells may be present in other counties of North Carolina and elsewhere in the United States. The underestimation of water lead in wells may be masking cases of elevated blood lead levels attributed to this source and hindering opportunities to mitigate this exposure.","2018","North Carolina","water","water"
"Smelting Remains a Public Health Risk Nearly a Century Later: A Case Study in Pueblo, Colorado, USA","Pueblo, Colorado has a long history of smelting activities, and recent studies raised concerns about lead exposure. This study tested 240 children in Pueblo for blood lead levels (BLLs) and found a significant association between distance from old smelters and children BLLs. Around 7.5% of Pueblo children had BLLs above the Centers for Disease Control and Prevention reference level of 5 &micro;g/dL for elevated BLL, and 18.3% had BLLs between 3.3⁻4.9 &micro;g/dL. Out of the 36 children who lived near former smelters, 13.9% had BLLs above 5 &micro;g/dL vs. 6.37% for children living away from old smelters. The proportion of Pueblo children with elevated BLL was nearly three times the 2007⁻2010 United States national average (7.5% vs. 2.6%), and this was higher in the immediate vicinity of old smelters (13.9% vs. 2.6%). Genetic polymorphisms for ALAD-1 or ALAD-2 alleles, which play a role in susceptibility to lead toxicity, were not associated with children BBLs. Around 38.5% of houses sampled near the smelters had topsoil lead levels higher than the Environmental Protection Agency&rsquo;s benchmark of 400 mg/kg. Our study resulted in the addition of areas of Pueblo to the EPA Superfund National Priorities List in December 2014, and cleanup is currently underway to minimize the public health risks.","2018","Colorado","None","None"
